stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000323889,9606.ENSP00000450799,TRIM25,KHNYN,9606,0.739,0,0,0,0.113,0,0,0.717
9606.ENSP00000325290,9606.ENSP00000345708,HASPIN,KCNJ11,9606,0.719,0,0,0,0,0,0,0.719
9606.ENSP00000326247,9606.ENSP00000354822,SAMD9L,XAF1,9606,0.87,0,0,0,0.78,0.095,0,0.403
9606.ENSP00000326737,9606.ENSP00000352414,TNFRSF12A,FGF17,9606,0.714,0,0,0,0,0,0,0.714
9606.ENSP00000326737,9606.ENSP00000367013,TNFRSF12A,TNFRSF25,9606,0.8,0,0,0,0,0,0,0.8
9606.ENSP00000327214,9606.ENSP00000409667,ATP13A2,SYNJ1,9606,0.734,0,0,0,0.046,0.049,0,0.73
9606.ENSP00000327214,9606.ENSP00000364204,ATP13A2,PINK1,9606,0.924,0,0,0,0.062,0,0,0.922
9606.ENSP00000328777,9606.ENSP00000342235,EFNA5,ERBB4,9606,0.7,0,0,0,0,0,0.65,0.178
9606.ENSP00000328777,9606.ENSP00000481994,EFNA5,EPHB6,9606,0.913,0,0,0,0.088,0.098,0.5,0.813
9606.ENSP00000328777,9606.ENSP00000374323,EFNA5,EPHA6,9606,0.923,0,0,0,0.087,0.287,0.65,0.704
9606.ENSP00000328777,9606.ENSP00000480763,EFNA5,EPHA5,9606,0.999,0,0,0,0.098,0.4,0.65,0.996
9606.ENSP00000328992,9606.ENSP00000409667,PAXBP1,SYNJ1,9606,0.75,0,0.443,0,0.083,0,0,0.55
9606.ENSP00000329357,9606.ENSP00000394560,SP1,MAPK9,9606,0.909,0,0,0,0.049,0.055,0.9,0.114
9606.ENSP00000329357,9606.ENSP00000359719,SP1,PRKACB,9606,0.935,0,0,0,0,0.096,0.9,0.343
9606.ENSP00000329357,9606.ENSP00000362680,SP1,SRC,9606,0.947,0,0,0,0.049,0.164,0.9,0.412
9606.ENSP00000329357,9606.ENSP00000478887,SP1,MYC,9606,0.974,0,0,0,0.06,0.785,0,0.883
9606.ENSP00000333262,9606.ENSP00000357583,INPP5J,INPP5A,9606,0.991,0,0,0,0.075,0,0.9,0.911
9606.ENSP00000333667,9606.ENSP00000468425,SHMT2,TK1,9606,0.75,0.12,0,0,0.231,0,0,0.66
