Symbol,pooled_log2FC
PCDHB7,1.20482913433685
ALDH3B1,1.23913970957524
SPATA6L,-1.0295815769201
PGD,1.03026111278541
SNORA2A,1.4841954478264
ACSL6,-1.77449670524883
ST6GAL2,-2.28113501349333
ACADSB,-1.13942604321281
HLF,-2.2658936900794
NALF1,-2.1265435349253
DOC2A,-1.37131385925674
NINJ1,1.330066887991
CACNB4,-1.76671121389923
ARHGAP30,1.52945561455817
FGF14,-1.16798550369275
JAKMIP1,-2.65375950159171
GRIK3,1.2914232483978
H4C11,1.90306299804496
NECAP1,-1.18986466752753
RN7SK,2.06384560752995
CHRNB2,-1.13131858709734
GUCY1B1,-1.83789995042594
AGBL4,-1.71756347404275
SNX10,-1.53949352414277
CELSR3,-1.23919216718688
KIFC2,-1.5853206067901
GFAP,1.63415529731754
CDK2,1.85051506791822
SV2A,-1.05151004220512
TBL2,1.05227128104666
SDF2L1,1.20011232382539
CALB1,-4.73475469425426
TRIB2,1.86834421133298
SNORA70,1.09130691402239
SAPCD2,2.30346782510737
ARSJ,1.27166062298719
LMO3,-1.8062680652499
PPP2R3B,1.6241606166452
UAP1L1,1.23378819857261
NUPR1,1.15938264061479
HOMER1,-2.16212388377184
SNORA67,1.35015891510901
TTC39B,-1.65661878517816
LRRTM3,-1.29580499336666
MAGEE1,-1.21183665892426
MDH1B,-1.00784764946765
B4GALT6,-1.3700967930933
CNTNAP2,-2.07733825446098
FAM131A,-1.07742253944543
CTNS,1.05147292663267
ADRB1,-1.59040880271502
CAPG,1.48803043120956
FGD6,-1.16511531799444
RNGTT,-1.13768302627289
VASH1,1.00549946092156
LRRC42,1.14561149736469
IQUB,-1.32884829689031
PMP22,1.42389662251136
MCC,1.03674204412268
MICU3,-1.5881213071588
SNCAIP,1.30641235883286
CDH18,-1.75085312564078
FABP3,-1.9061323009912
LONRF2,-1.15597128588129
MTFP1,1.40358542164346
IL17RC,1.205784303325
PTK2B,-1.17738334494168
HNRNPF,1.67724890982208
MAST1,-1.79549076003846
RHOC,1.44745192796008
TROAP,2.52248460167388
SHCBP1,1.38323616043495
DGCR6,-1.04183141288059
H2AC8,1.36176736647016
TWSG1,1.03590579685372
BIRC5,1.83705095689305
NAP1L2,-1.30921395192405
SLC1A1,-1.03880262822316
SLC2A3,1.41297039875121
DPYSL3,1.08986757470418
ZNF845,1.43425691159712
INPP5J,-1.07836709219714
CDCA5,1.29150103150638
ANXA7,-1.20093396255497
HASPIN,2.93917048308321
MMD,-1.30330831607284
H2BC15,1.38097190308923
AMIGO1,-1.59476468963708
