Gene_ID,n_datasets
ENSG00000150394,1
ENSG00000150457,1
ENSG00000150627,1
ENSG00000150656,1
ENSG00000150995,1
ENSG00000151025,1
ENSG00000151090,1
ENSG00000151229,1
ENSG00000151491,1
ENSG00000151572,1
ENSG00000151623,1
ENSG00000151690,1
ENSG00000151725,1
ENSG00000151729,1
ENSG00000151778,1
ENSG00000151917,1
ENSG00000151952,1
ENSG00000152034,1
ENSG00000152242,1
ENSG00000152495,1
ENSG00000152503,1
ENSG00000152518,1
ENSG00000152558,1
ENSG00000152782,1
ENSG00000152932,1
ENSG00000152952,1
ENSG00000152954,1
ENSG00000153094,1
ENSG00000153233,1
ENSG00000153237,1
ENSG00000153292,1
ENSG00000153922,1
ENSG00000153933,1
ENSG00000154040,1
ENSG00000154114,1
ENSG00000154122,1
ENSG00000154133,1
ENSG00000154222,1
ENSG00000154330,1
ENSG00000154553,1
ENSG00000154640,1
ENSG00000154743,1
ENSG00000154822,1
ENSG00000154917,1
ENSG00000154920,1
ENSG00000154975,1
ENSG00000155052,1
ENSG00000155093,1
ENSG00000155097,1
ENSG00000155158,1
ENSG00000155189,1
ENSG00000155368,1
ENSG00000155542,1
ENSG00000155561,1
ENSG00000155760,1
ENSG00000155858,1
ENSG00000155926,1
ENSG00000155970,1
ENSG00000155980,1
ENSG00000156017,1
ENSG00000156042,1
ENSG00000156097,1
ENSG00000156140,1
ENSG00000156345,1
ENSG00000156411,1
ENSG00000156486,1
ENSG00000156642,1
ENSG00000156687,1
ENSG00000156735,1
ENSG00000156983,1
ENSG00000157064,1
ENSG00000157077,1
ENSG00000157087,1
ENSG00000157150,1
ENSG00000157152,1
ENSG00000157214,1
ENSG00000157227,1
ENSG00000157470,1
ENSG00000157502,1
ENSG00000157510,1
ENSG00000157542,1
ENSG00000157557,1
ENSG00000157570,1
ENSG00000157578,1
ENSG00000157593,1
ENSG00000157680,1
ENSG00000157782,1
ENSG00000157881,1
ENSG00000158008,1
ENSG00000158106,1
ENSG00000158220,1
ENSG00000158246,1
ENSG00000158301,1
ENSG00000158352,1
ENSG00000158373,1
ENSG00000158406,1
ENSG00000158445,1
ENSG00000158480,1
ENSG00000158517,1
ENSG00000158560,1
ENSG00000158710,1
ENSG00000158711,1
ENSG00000158747,1
ENSG00000158748,1
ENSG00000158792,1
ENSG00000158806,1
ENSG00000158828,1
ENSG00000158856,1
ENSG00000158859,1
ENSG00000159082,1
ENSG00000159086,1
ENSG00000159216,1
ENSG00000159228,1
ENSG00000159263,1
ENSG00000159363,1
ENSG00000159388,1
ENSG00000159399,1
ENSG00000159674,1
ENSG00000159753,1
ENSG00000160014,1
ENSG00000160051,1
ENSG00000160145,1
ENSG00000160191,1
ENSG00000160307,1
ENSG00000160321,1
ENSG00000160408,1
ENSG00000160445,1
ENSG00000160460,1
ENSG00000160469,1
ENSG00000160753,1
ENSG00000160767,1
ENSG00000160783,1
ENSG00000160862,1
ENSG00000160957,1
ENSG00000160963,1
ENSG00000161082,1
ENSG00000161638,1
ENSG00000161681,1
ENSG00000161682,1
ENSG00000161847,1
ENSG00000161921,1
ENSG00000162104,1
ENSG00000162222,1
ENSG00000162227,1
ENSG00000162337,1
ENSG00000162368,1
ENSG00000162409,1
ENSG00000162426,1
ENSG00000162490,1
ENSG00000162522,1
ENSG00000162545,1
ENSG00000162572,1
ENSG00000162576,1
ENSG00000162607,1
ENSG00000162621,1
ENSG00000162641,1
ENSG00000162692,1
ENSG00000162782,1
ENSG00000162817,1
ENSG00000162852,1
ENSG00000162873,1
ENSG00000162878,1
ENSG00000162889,1
ENSG00000162931,1
ENSG00000162946,1
ENSG00000162951,1
ENSG00000162999,1
ENSG00000163013,1
ENSG00000163032,1
ENSG00000163046,1
ENSG00000163053,1
ENSG00000163064,1
ENSG00000163075,1
ENSG00000163082,1
ENSG00000163110,1
ENSG00000163273,1
ENSG00000163285,1
ENSG00000163399,1
ENSG00000163412,1
ENSG00000163472,1
ENSG00000163507,1
ENSG00000163531,1
ENSG00000163545,1
ENSG00000163565,1
ENSG00000163576,1
ENSG00000163590,1
ENSG00000163624,1
ENSG00000163633,1
ENSG00000163638,1
ENSG00000163661,1
ENSG00000163673,1
ENSG00000163702,1
ENSG00000163703,1
ENSG00000163734,1
ENSG00000163793,1
ENSG00000163840,1
ENSG00000163848,1
ENSG00000163873,1
ENSG00000163995,1
ENSG00000164038,1
ENSG00000164045,1
ENSG00000164056,1
ENSG00000164070,1
ENSG00000164074,1
ENSG00000164099,1
ENSG00000164100,1
ENSG00000164104,1
ENSG00000164106,1
ENSG00000164109,1
ENSG00000164111,1
